Ruolo,Nome,Squadra,FVM,Prezzo
P,Carnesecchi,Atalanta,55,17
P,Sportiello,Atalanta,1,1
D,Scalvini,Atalanta,28,10
D,Zappacosta,Atalanta,19,8
D,Hien,Atalanta,11,7
D,Bellanova,Atalanta,17,6
D,Bernasconi,Atalanta,18,6
D,Kolasinac,Atalanta,8,6
D,Kristensen T.,Atalanta,20,6
D,Kossounou,Atalanta,12,4
C,Samardzic,Atalanta,44,13
C,Ederson D.S.,Atalanta,46,12
C,Kessie,Atalanta,47,12
C,Rowe,Atalanta,40,10
C,Pasalic,Atalanta,22,8
C,Elmas,Atalanta,22,7
C,Gaetano,Atalanta,30,7
C,Zalewski,Atalanta,18,7
A,Scamacca,Atalanta,110,19
A,Krstovic,Atalanta,98,18
A,De Ketelaere,Atalanta,95,17
A,Raspadori,Atalanta,73,14
A,Sulemana K.,Atalanta,8,6
P,Skorupski,Bologna,32,10
P,Happonen,Bologna,1,1
P,Pessina Mas.,Bologna,1,1
D,Miranda J.,Bologna,23,8
D,Theate,Bologna,20,8
D,Zortea,Bologna,19,7
D,Heggem,Bologna,15,6
D,Holm,Bologna,13,6
D,Vitik,Bologna,10,4
D,Casale,Bologna,5,3
D,Helland,Bologna,12,3
D,Alhassane,Bologna,6,2
D,De Silvestri,Bologna,4,1
C,Orsolini,Bologna,177,25
C,Bernardeschi,Bologna,27,10
C,Cambiaghi,Bologna,25,8
C,Mbangula,Bologna,28,8
C,Odgaard,Bologna,17,8
C,Ferguson,Bologna,23,7
C,Pobega,Bologna,12,6
C,Amondarain,Bologna,10,5
C,Moro N.,Bologna,14,4
C,El Azzouzi O.,Bologna,10,2
A,Dovbyk,Bologna,51,15
A,Piccoli,Bologna,29,8
P,Caprile,Cagliari,25,10
P,Radunovic,Cagliari,1,1
P,Sherri,Cagliari,1,1
D,Mina,Cagliari,20,7
D,Obert,Cagliari,15,7
D,Sugawara,Cagliari,15,6
D,Kofler,Cagliari,8,5
D,Zé Pedro,Cagliari,13,5
D,Rodriguez Ju.,Cagliari,14,4
D,Idrissi R.,Cagliari,3,3
D,Aurelio,Cagliari,5,2
C,Adopo,Cagliari,13,7
C,Romano,Cagliari,21,7
C,Fazzini,Cagliari,23,6
C,Winks,Cagliari,15,6
C,Felici,Cagliari,7,5
C,Massolin,Cagliari,12,4
C,Deiola,Cagliari,8,3
C,Gagliardini,Cagliari,8,3
C,Fadera,Cagliari,12,2
C,Ciervo,Cagliari,1,1
C,Liteta,Cagliari,1,1
A,Kevin Carlos,Cagliari,36,12
A,Maldini,Cagliari,21,5
A,Borrelli,Cagliari,9,4
A,Mendy P.,Cagliari,12,4
A,Nzola,Cagliari,10,4
A,Trepy,Cagliari,2,1
P,Butez,Como,50,15
P,Sanchez Ro.,Como,25,8
P,Vigorito,Como,1,1
D,Chalobah T.,Como,32,10
D,Ramon,Como,31,10
D,Couto,Como,25,8
D,Kaiki,Como,13,6
D,Valle,Como,21,6
D,Kempf,Como,13,5
D,Smolcic I.,Como,10,4
D,Kambwala,Como,8,3
D,Goldaniga,Como,1,1
C,Paz N.,Como,245,29
C,Baturina,Como,105,20
C,Da Cunha,Como,87,18
C,Rodriguez Je.,Como,31,11
C,Perrone,Como,34,10
C,Caqueret,Como,17,6
C,Liberali,Como,21,6
C,Milla,Como,30,6
C,Addai,Como,10,4
C,Ricci S.,Como,12,4
C,Lahdo,Como,1,1
A,Kean,Como,183,24
A,Douvikas,Como,185,22
A,Diao,Como,50,12
P,De Gea,Fiorentina,30,11
P,Christensen O.,Fiorentina,1,1
P,Lezzerini,Fiorentina,1,1
D,Dodo,Fiorentina,20,9
D,Dragusin,Fiorentina,20,7
D,Jimenez A.,Fiorentina,18,7
D,Viery,Fiorentina,12,6
D,Valdepenas,Fiorentina,16,5
D,Parisi,Fiorentina,10,4
D,Pongracic,Fiorentina,8,4
D,Joao Mario,Fiorentina,12,3
D,Ranieri L.,Fiorentina,10,3
C,Atta,Fiorentina,78,15
C,Goncalves P.,Fiorentina,50,12
C,Mastantuono,Fiorentina,50,11
C,Fagioli,Fiorentina,20,7
C,Ndour,Fiorentina,22,7
C,Oulai,Fiorentina,18,6
C,Njie,Fiorentina,28,4
C,Brescianini,Fiorentina,11,3
A,Beto,Fiorentina,50,14
A,Pellegrino M.,Fiorentina,40,14
A,Gnonto,Fiorentina,25,7
P,Palmisani,Frosinone,12,5
P,Desplanches,Frosinone,1,2
P,Lolic,Frosinone,1,1
P,Pisseri,Frosinone,1,1
D,Bracaglia,Frosinone,15,7
D,Monterisi,Frosinone,13,6
D,Oyono A.,Frosinone,10,6
D,Calvani,Frosinone,13,5
D,Cittadini,Frosinone,8,4
D,Terzic,Frosinone,8,4
D,Akpoguma,Frosinone,6,3
D,Tchato,Frosinone,8,3
D,Amey,Frosinone,1,1
D,Corrado,Frosinone,1,1
D,Omar Fayed,Frosinone,1,1
C,Calò,Frosinone,27,8
C,Schmid,Frosinone,25,8
