Nome,Status_Reale,Ballottaggio_Con
Bernasconi,In Ballottaggio,Kolasinac
Bellanova,In Ballottaggio,Zappacosta
Kessie,In Ballottaggio,Samardzic
Theate,In Ballottaggio,Helland
Pobega,In Ballottaggio,Moro N.
Odgaard,In Ballottaggio,Bernardeschi
Couto,In Ballottaggio,Smolcic L
Da Cunha,In Ballottaggio,Perrane
Baturina,In Ballottaggio,Rodriguez Je
Ze Pedro,In Ballottaggio,Sugawara
Adopo,In Ballottaggio,Fadera
Grillitsch,In Ballottaggio,Cichella
Oyono A.,In Ballottaggio,Tchato
Raimondo,In Ballottaggio,Bobcek
Stones,In Ballottaggio,Bisseck
Diouf,In Ballottaggio,Spence
Sow,In Ballottaggio,Amorim
El Shaarawy,In Ballottaggio,Vitinha O
Jones C.,In Ballottaggio,Zielinski
Lucumi,In Ballottaggio,Kelly L.
Celik,In Ballottaggio,Cambiaso
Sarr P.,In Ballottaggio,Douglas Luiz
Marusic,In Ballottaggio,Floriani Mussolini
Sutalo J.,In Ballottaggio,Doekhi
Tavares N.,In Ballottaggio,Pedraza
Gaspar K.,In Ballottaggio,Siebert
Ilic,In Ballottaggio,Ngom
De Winter,In Ballottaggio,Gabbia
Bartesaghi,In Ballottaggio,Estupinan
Moreira,In Ballottaggio,Chukwueze
Berisha M.,In Ballottaggio,Gandelman
Ranieri L.,In Ballottaggio,Vieri
Dodo,In Ballottaggio,Jimenez A.
Fagioli,In Ballottaggio,Oulai
Carboni A.,In Ballottaggio,Ziolkowski
Birindelli,In Ballottaggio,Touré I.
Badiashile,In Ballottaggio,Buongiorno
Spinazzola,In Ballottaggio,Olivera
Zeballos,In Ballottaggio,Folorunsho
Corvi,In Ballottaggio,Daffara
Britschgi,In Ballottaggio,Ordonez C.
Hermoso,In Ballottaggio,Koullouraks
Mora,In Ballottaggio,Soulé
Caleta-Car,In Ballottaggio,Leysen F.
Obrador,In Ballottaggio,Doig
Bakola,In Ballottaggio,Adzic
Rodriguez R.,In Ballottaggio,Comert
Coco,In Ballottaggio,Ismajli
Belghali,In Ballottaggio,Patterson
Abankwah,In Ballottaggio,Palma
Piotrowski,In Ballottaggio,Miller L.
Juan Jesus,In Ballottaggio,Halhal
Mazzocchi,In Ballottaggio,Hainaut
Haps,In Ballottaggio,Correia T.
